materials,property,DCTM,DCNiAC,DCNiA,DCM,FEM,FE,EIm,Hm,Lm,COHPNM,COHPNiO,QTM,QNiAC,uBTM,uBNiAC,uBS,Rm,ENm,Ndm,Ndsm,Mm
Ag,0.80410184,-3.616,-2.443,-2.328,-2.646,-3.0089,-4.13864552,7.576,-4.5659,-3.8403,-0.0196225,-1.566323333,1.199176667,1.254269,0.0645,0.919,8.012,1.6,1.93,10,11,107.8682
Au,0.59888839,-4.216,-2.514,-2.32,-2.787,-2.725,-0.38070835,9.225,-5.9456,-5.2426,-0.116195,-0.997628333,1.350440667,1.173562,0.02175,1.592,9.736,1.35,2.54,10,11,196.966
Cd,1.83668528,-6.416,-2.855,-2.506,-3.461,-3.1533,-0.07632254,8.994,-5.4994,-0.7368,-0.0852725,-1.454938333,1.278594667,1.240962,0.0125,1.714,10.737,1.55,1.69,10,12,112.411
Co,0.3689061,-1.649,-2.646,-2.473,-2.268,-2.6759,1.25539799,7.881,-3.9463,-3.9152,-0.05201,-1.095148333,1.487654667,1.168549,0.60775,1.523,13.169,1.35,1.88,7,9,58.933
Cr,0.70650128,-0.827,-1.366,-2.287,-1.925,-2.5489,0.74799821,6.767,-3.5634,-1.6383,-0.1041725,-0.940508333,1.919816667,0.86998,1.15825,0.899,14.578,1.4,1.66,5,6,51.9961
Cu,0.58194708,-2.728,-2.214,-2.502,-2.559,-3.044,0.79003875,7.727,-4.7251,-3.9515,-0.0522325,-1.220983333,1.289501167,1.163624,0.38425,1.537,11.731,1.35,1.9,10,11,63.546
Fe,0.233596,-1.797,-2.8,-2.409,-2.255,-2.8102,1.75685,7.903,-4.3671,-4.2604,-0.0430875,-1.049841667,1.8473905,1.179992,2.392,1.615,24.213,1.4,1.83,6,8,55.845
Hf,1.5287492,3.104,-2.752,-2.449,-1.412,-2.7079,3.4706099,6.825,-4.3792,-2.9349,-0.1363075,-1.101605,2.626925167,1.139235,0.01175,1.575,9.663,1.55,1.3,2,4,178.49
Hg,1.49769788,-5.067,-2.46,-2.452,-3.088,-3.3242,-0.59310343,10.438,-6.681,-0.7065,-0.0996475,-1.58886,0.9891465,1.20774,0.0175,0.728,7.682,1.5,2,10,12,200.59
Ir,0.41024705,-2.259,-1.878,-2.354,-2.331,-2.5064,1.74169038,9.12,-5.0181,-4.9944,-0.2172125,-0.98316,1.874816333,0.940042,0.04975,1.014,9.396,1.35,2.2,7,9,192.217
Mn,1.05508455,-0.655,-2.927,-2.438,-1.997,-2.6571,1.78151142,7.434,-4.3042,-3.4853,-0.062435,-1.083958333,1.815219167,1.196241,2.62825,1.611,25.598,1.4,1.55,5,7,54.938
Mo,2.32364823,-1.311,-1.968,-2.566,-2.269,-1.9145,1.25487493,7.092,-4.5378,-1.7437,-0.28027,-0.831761667,2.386019,0.792446,0.333,1.002,9.607,1.45,2.16,5,6,95.96
Nb,0.86000103,1.636,-0.989,-2.127,-1.324,-2.4501,2.39129491,6.759,-3.643,-1.9019,-0.3337625,-0.844688333,2.5466785,0.787476,0.01675,1.051,8.182,1.45,1.6,4,5,92.906
Ni,0.82961096,-2.246,-2.386,-2.431,-2.386,-2.8344,1.42162803,7.64,-3.88,-3.7066,-0.0491125,-1.194893333,1.448654333,1.151344,0.25175,1.48,10.712,1.35,1.91,8,10,58.6934
Os,0.94965712,-2.104,-2.02,-2.381,-2.314,-2.3786,0.47438597,8.71,-5.2144,-4.6506,-0.2185725,-0.902343333,2.463984833,0.879645,0.51775,1.073,11.253,1.3,2.2,6,8,190.23
Pd,0.97592088,-3.15,-2.501,-2.358,-2.56,-2.6807,1.83549544,8.337,-3.9768,-3.2381,-0.0734975,-1.200701667,1.428582333,1.141356,0.0255,1.489,9.437,1.4,2.2,10,10,106.42
